ID,Name,Email,PreferredGame,SkillLevel,PreferredRole,PersonalityScore,PersonalityType,TeamNumber
P010, Participant_10, user10@university.edu, Valorant, 5, Coordinator, 96, Leader,1
P050, Participant_50, user50@university.edu, Basketball, 5, Coordinator, 70, Balanced,1
P065, Participant_65, user65@university.edu, DOTA 2, 7, Coordinator, 77, Balanced,1
P054, Participant_54, user54@university.edu, Valorant, 8, Supporter, 69, Thinker,1
P006, Participant_6, user6@university.edu, CS:GO, 2, Strategist, 57, Thinker,1
P085, Participant_85, user85@university.edu, Basketball, 10, Coordinator, 98, Leader,2
P032, Participant_32, user32@university.edu, DOTA 2, 2, Attacker, 86, Balanced,2
P074, Participant_74, user74@university.edu, FIFA, 3, Supporter, 82, Balanced,2
P084, Participant_84, user84@university.edu, FIFA, 5, Supporter, 63, Thinker,2
P090, Participant_90, user90@university.edu, Chess, 5, Coordinator, 62, Thinker,2
P097, Participant_97, user97@university.edu, FIFA, 3, Attacker, 96, Leader,3
P101, chanura, cc@, FIFA, 8, Defender, 84, Balanced,3
P062, Participant_62, user62@university.edu, Basketball, 6, Attacker, 85, Balanced,3
P012, Participant_12, user12@university.edu, DOTA 2, 3, Attacker, 63, Thinker,3
P024, Participant_24, user24@university.edu, DOTA 2, 7, Supporter, 63, Thinker,3
P094, Participant_94, user94@university.edu, CS:GO, 2, Supporter, 98, Leader,4
P068, Participant_68, user68@university.edu, Chess, 1, Defender, 80, Balanced,4
P083, Participant_83, user83@university.edu, DOTA 2, 10, Defender, 75, Balanced,4
P036, Participant_36, user36@university.edu, Chess, 9, Strategist, 65, Thinker,4
P015, Participant_15, user15@university.edu, DOTA 2, 8, Coordinator, 66, Thinker,4
P055, Participant_55, user55@university.edu, Chess, 8, Coordinator, 90, Leader,5
P023, Participant_23, user23@university.edu, CS:GO, 3, Defender, 87, Balanced,5
P047, Participant_47, user47@university.edu, DOTA 2, 10, Attacker, 78, Balanced,5
P027, Participant_27, user27@university.edu, Chess, 6, Attacker, 53, Thinker,5
P003, Participant_3, user3@university.edu, FIFA, 4, Defender, 66, Thinker,5
P037, Participant_37, user37@university.edu, DOTA 2, 8, Attacker, 100, Leader,6
P089, Participant_89, user89@university.edu, Chess, 6, Supporter, 75, Balanced,6
P044, Participant_44, user44@university.edu, FIFA, 6, Supporter, 71, Balanced,6
P087, Participant_87, user87@university.edu, Basketball, 4, Attacker, 51, Thinker,6
P045, Participant_45, user45@university.edu, Chess, 2, Coordinator, 68, Thinker,6
P028, Participant_28, user28@university.edu, CS:GO, 8, Defender, 90, Leader,7
P005, Participant_5, user5@university.edu, CS:GO, 9, Coordinator, 82, Balanced,7
P056, Participant_56, user56@university.edu, Basketball, 4, Strategist, 86, Balanced,7
P042, Participant_42, user42@university.edu, DOTA 2, 7, Attacker, 53, Thinker,7
P039, Participant_39, user39@university.edu, FIFA, 5, Supporter, 66, Thinker,7
P046, Participant_46, user46@university.edu, CS:GO, 5, Strategist, 96, Leader,8
P038, Participant_38, user38@university.edu, Valorant, 1, Defender, 78, Balanced,8
P071, Participant_71, user71@university.edu, Chess, 8, Strategist, 70, Balanced,8
P048, Participant_48, user48@university.edu, Valorant, 6, Defender, 65, Thinker,8
P030, Participant_30, user30@university.edu, CS:GO, 4, Coordinator, 54, Thinker,8
P064, Participant_64, user64@university.edu, CS:GO, 6, Supporter, 92, Leader,9
P011, Participant_11, user11@university.edu, Basketball, 8, Strategist, 84, Balanced,9
P035, Participant_35, user35@university.edu, Basketball, 8, Coordinator, 78, Balanced,9
P099, Participant_99, user99@university.edu, Valorant, 3, Supporter, 66, Thinker,9
P060, Participant_60, user60@university.edu, CS:GO, 4, Coordinator, 57, Thinker,9
P052, Participant_52, user52@university.edu, FIFA, 2, Attacker, 99, Leader,10
P008, Participant_8, user8@university.edu, Valorant, 10, Defender, 81, Balanced,10
P026, Participant_26, user26@university.edu, Chess, 8, Strategist, 74, Balanced,10
P057, Participant_57, user57@university.edu, CS:GO, 7, Attacker, 54, Thinker,10
P069, Participant_69, user69@university.edu, CS:GO, 5, Supporter, 68, Thinker,10
P073, Participant_73, user73@university.edu, DOTA 2, 8, Defender, 100, Leader,11
P014, Participant_14, user14@university.edu, FIFA, 3, Supporter, 73, Balanced,11
P029, Participant_29, user29@university.edu, Basketball, 5, Supporter, 77, Balanced,11
P096, Participant_96, user96@university.edu, DOTA 2, 8, Strategist, 56, Thinker,11
P075, Participant_75, user75@university.edu, Valorant, 8, Coordinator, 53, Thinker,11
P082, Participant_82, user82@university.edu, Valorant, 10, Attacker, 97, Leader,12
P098, Participant_98, user98@university.edu, CS:GO, 5, Defender, 83, Balanced,12
P002, Participant_2, user2@university.edu, FIFA, 5, Attacker, 80, Balanced,12
P051, Participant_51, user51@university.edu, FIFA, 2, Strategist, 57, Thinker,12
P063, Participant_63, user63@university.edu, Chess, 8, Defender, 60, Thinker,12
P079, Participant_79, user79@university.edu, Chess, 5, Supporter, 97, Leader,13
P017, Participant_17, user17@university.edu, CS:GO, 10, Attacker, 77, Balanced,13
P041, Participant_41, user41@university.edu, Basketball, 5, Strategist, 70, Balanced,13
P078, Participant_78, user78@university.edu, FIFA, 6, Defender, 51, Thinker,13
P093, Participant_93, user93@university.edu, CS:GO, 4, Defender, 51, Thinker,13
