ID,Name,Email,PreferredGame,SkillLevel,PreferredRole,PersonalityScore,PersonalityType
P092, Participant_92, user92@university.edu, Basketball, 7, Attacker, 70, Balanced
P059, Participant_59, user59@university.edu, DOTA 2, 4, Supporter, 79, Balanced
P020, Participant_20, user20@university.edu, Valorant, 3, Coordinator, 82, Balanced
P053, Participant_53, user53@university.edu, DOTA 2, 7, Defender, 71, Balanced
P080, Participant_80, user80@university.edu, Basketball, 1, Coordinator, 82, Balanced
P077, Participant_77, user77@university.edu, FIFA, 2, Attacker, 89, Balanced
P095, Participant_95, user95@university.edu, CS:GO, 2, Coordinator, 84, Balanced
P086, Participant_86, user86@university.edu, FIFA, 9, Strategist, 89, Balanced
P013, Participant_13, user13@university.edu, DOTA 2, 4, Defender, 97, Leader
P016, Participant_16, user16@university.edu, CS:GO, 6, Strategist, 90, Leader
P022, Participant_22, user22@university.edu, Chess, 9, Attacker, 97, Leader
P025, Participant_25, user25@university.edu, FIFA, 9, Coordinator, 100, Leader
P034, Participant_34, user34@university.edu, FIFA, 7, Supporter, 91, Leader
P043, Participant_43, user43@university.edu, DOTA 2, 2, Defender, 100, Leader
P058, Participant_58, user58@university.edu, Valorant, 3, Defender, 95, Leader
P061, Participant_61, user61@university.edu, CS:GO, 7, Strategist, 98, Leader
P067, Participant_67, user67@university.edu, Basketball, 1, Attacker, 92, Leader
P070, Participant_70, user70@university.edu, Basketball, 1, Coordinator, 96, Leader
P076, Participant_76, user76@university.edu, FIFA, 7, Strategist, 91, Leader
P091, Participant_91, user91@university.edu, FIFA, 10, Strategist, 98, Leader
P102, c, c@, Valorant, 7, Supporter, 96, Leader
P001, Participant_1, user1@university.edu, Chess, 2, Strategist, 95, Leader
P031, Participant_31, user31@university.edu, Basketball, 8, Strategist, 97, Leader
P007, Participant_7, user7@university.edu, DOTA 2, 5, Attacker, 93, Leader
P004, Participant_4, user4@university.edu, Basketball, 4, Supporter, 91, Leader
P088, Participant_88, user88@university.edu, FIFA, 4, Defender, 92, Leader
P019, Participant_19, user19@university.edu, FIFA, 9, Supporter, 95, Leader
P040, Participant_40, user40@university.edu, Chess, 9, Coordinator, 100, Leader
P100, Participant_100, user100@university.edu, CS:GO, 7, Coordinator, 97, Leader
P049, Participant_49, user49@university.edu, Basketball, 3, Supporter, 95, Leader
P018, Participant_18, user18@university.edu, FIFA, 3, Defender, 51, Thinker
P081, Participant_81, user81@university.edu, FIFA, 10, Strategist, 52, Thinker
P033, Participant_33, user33@university.edu, FIFA, 7, Defender, 65, Thinker
P021, Participant_21, user21@university.edu, FIFA, 4, Strategist, 64, Thinker
P072, Participant_72, user72@university.edu, DOTA 2, 5, Attacker, 61, Thinker
P066, Participant_66, user66@university.edu, Chess, 1, Strategist, 67, Thinker
P009, Participant_9, user9@university.edu, CS:GO, 6, Supporter, 62, Thinker
