ID,Name,Email,PreferredGame,SkillLevel,PreferredRole,PersonalityScore,PersonalityType,TeamNumber
P028, Participant_28, user28@university.edu, CS:GO, 8, Defender, 90, Leader,1
P026, Participant_26, user26@university.edu, Chess, 8, Strategist, 74, Balanced,1
P051, Participant_51, user51@university.edu, FIFA, 2, Strategist, 57, Thinker,1
P075, Participant_75, user75@university.edu, Valorant, 8, Coordinator, 53, Thinker,1
P082, Participant_82, user82@university.edu, Valorant, 10, Attacker, 97, Leader,2
P017, Participant_17, user17@university.edu, CS:GO, 10, Attacker, 77, Balanced,2
P006, Participant_6, user6@university.edu, CS:GO, 2, Strategist, 57, Thinker,2
P018, Participant_18, user18@university.edu, FIFA, 3, Defender, 51, Thinker,2
P049, Participant_49, user49@university.edu, Basketball, 3, Supporter, 95, Leader,3
P005, Participant_5, user5@university.edu, CS:GO, 9, Coordinator, 82, Balanced,3
P054, Participant_54, user54@university.edu, Valorant, 8, Supporter, 69, Thinker,3
P078, Participant_78, user78@university.edu, FIFA, 6, Defender, 51, Thinker,3
P079, Participant_79, user79@university.edu, Chess, 5, Supporter, 97, Leader,4
P002, Participant_2, user2@university.edu, FIFA, 5, Attacker, 80, Balanced,4
P081, Participant_81, user81@university.edu, FIFA, 10, Strategist, 52, Thinker,4
P072, Participant_72, user72@university.edu, DOTA 2, 5, Attacker, 61, Thinker,4
P013, Participant_13, user13@university.edu, DOTA 2, 4, Defender, 97, Leader,5
P071, Participant_71, user71@university.edu, Chess, 8, Strategist, 70, Balanced,5
P084, Participant_84, user84@university.edu, FIFA, 5, Supporter, 63, Thinker,5
P039, Participant_39, user39@university.edu, FIFA, 5, Supporter, 66, Thinker,5
P088, Participant_88, user88@university.edu, FIFA, 4, Defender, 92, Leader,6
P098, Participant_98, user98@university.edu, CS:GO, 5, Defender, 83, Balanced,6
P030, Participant_30, user30@university.edu, CS:GO, 4, Coordinator, 54, Thinker,6
P087, Participant_87, user87@university.edu, Basketball, 4, Attacker, 51, Thinker,6
P073, Participant_73, user73@university.edu, DOTA 2, 8, Defender, 100, Leader,7
P020, Participant_20, user20@university.edu, Valorant, 3, Coordinator, 82, Balanced,7
P024, Participant_24, user24@university.edu, DOTA 2, 7, Supporter, 63, Thinker,7
P093, Participant_93, user93@university.edu, CS:GO, 4, Defender, 51, Thinker,7
P070, Participant_70, user70@university.edu, Basketball, 1, Coordinator, 96, Leader,8
P083, Participant_83, user83@university.edu, DOTA 2, 10, Defender, 75, Balanced,8
P033, Participant_33, user33@university.edu, FIFA, 7, Defender, 65, Thinker,8
P021, Participant_21, user21@university.edu, FIFA, 4, Strategist, 64, Thinker,8
P031, Participant_31, user31@university.edu, Basketball, 8, Strategist, 97, Leader,9
P029, Participant_29, user29@university.edu, Basketball, 5, Supporter, 77, Balanced,9
P027, Participant_27, user27@university.edu, Chess, 6, Attacker, 53, Thinker,9
P099, Participant_99, user99@university.edu, Valorant, 3, Supporter, 66, Thinker,9
P076, Participant_76, user76@university.edu, FIFA, 7, Strategist, 91, Leader,10
P032, Participant_32, user32@university.edu, DOTA 2, 2, Attacker, 86, Balanced,10
P063, Participant_63, user63@university.edu, Chess, 8, Defender, 60, Thinker,10
P090, Participant_90, user90@university.edu, Chess, 5, Coordinator, 62, Thinker,10
P064, Participant_64, user64@university.edu, CS:GO, 6, Supporter, 92, Leader,11
P023, Participant_23, user23@university.edu, CS:GO, 3, Defender, 87, Balanced,11
P003, Participant_3, user3@university.edu, FIFA, 4, Defender, 66, Thinker,11
P096, Participant_96, user96@university.edu, DOTA 2, 8, Strategist, 56, Thinker,11
P043, Participant_43, user43@university.edu, DOTA 2, 2, Defender, 100, Leader,12
P065, Participant_65, user65@university.edu, DOTA 2, 7, Coordinator, 77, Balanced,12
P057, Participant_57, user57@university.edu, CS:GO, 7, Attacker, 54, Thinker,12
P060, Participant_60, user60@university.edu, CS:GO, 4, Coordinator, 57, Thinker,12
P094, Participant_94, user94@university.edu, CS:GO, 2, Supporter, 98, Leader,13
P050, Participant_50, user50@university.edu, Basketball, 5, Coordinator, 70, Balanced,13
P036, Participant_36, user36@university.edu, Chess, 9, Strategist, 65, Thinker,13
P042, Participant_42, user42@university.edu, DOTA 2, 7, Attacker, 53, Thinker,13
